https://www.michiganlottery.com/resources/number-tools?SELECTED_TOOL=PAST_RESULTS&SELECTED_GAME=6
"Draw Date","Winning Numbers","Drawing Type"
"06/29/2022","23,26,29,32,34,41","REGULAR DRAWING"
"06/29/2022","17,18,20,21,24,47","DOUBLE PLAY DRAWING"
"06/25/2022","8,24,26,29,40,41","REGULAR DRAWING"
"06/25/2022","14,17,23,27,36,47","DOUBLE PLAY DRAWING"
"06/22/2022","5,10,17,21,25,27","REGULAR DRAWING"
"06/22/2022","6,8,27,32,35,37","DOUBLE PLAY DRAWING"
"06/18/2022","2,4,6,17,31,36","REGULAR DRAWING"
"06/18/2022","4,5,12,24,36,37","DOUBLE PLAY DRAWING"
"06/15/2022","1,25,38,43,46,47","REGULAR DRAWING"
"06/15/2022","6,12,13,21,40,47","DOUBLE PLAY DRAWING"
"06/11/2022","2,7,22,37,39,45","REGULAR DRAWING"
"06/11/2022","1,9,11,23,40,44","DOUBLE PLAY DRAWING"
"06/08/2022","1,6,10,12,16,23","REGULAR DRAWING"
"06/08/2022","4,15,32,38,41,43","DOUBLE PLAY DRAWING"
"06/04/2022","3,15,17,23,33,42","REGULAR DRAWING"
"06/04/2022","5,12,13,27,28,46","DOUBLE PLAY DRAWING"
"06/01/2022","7,18,22,23,25,45","REGULAR DRAWING"
"06/01/2022","18,23,28,31,32,36","DOUBLE PLAY DRAWING"
"05/28/2022","10,15,16,30,35,36","REGULAR DRAWING"
"05/28/2022","11,14,16,23,33,38","DOUBLE PLAY DRAWING"
"05/25/2022","11,13,27,29,33,47","REGULAR DRAWING"
"05/25/2022","1,7,23,29,30,46","DOUBLE PLAY DRAWING"
"05/21/2022","8,11,17,24,28,42","REGULAR DRAWING"
"05/21/2022","11,12,21,26,36,38","DOUBLE PLAY DRAWING"
"05/18/2022","14,18,19,31,38,44","REGULAR DRAWING"
"05/18/2022","2,5,7,10,20,47","DOUBLE PLAY DRAWING"
"05/14/2022","11,16,31,36,44,45","REGULAR DRAWING"
"05/14/2022","5,9,17,26,42,46","DOUBLE PLAY DRAWING"
"05/11/2022","2,4,10,21,37,40","REGULAR DRAWING"
"05/11/2022","5,7,29,38,39,47","DOUBLE PLAY DRAWING"
"05/07/2022","12,14,24,33,39,44","REGULAR DRAWING"
"05/07/2022","1,7,22,24,39,41","DOUBLE PLAY DRAWING"
"05/04/2022","7,10,14,24,32,41","REGULAR DRAWING"
"05/04/2022","7,17,18,21,36,43","DOUBLE PLAY DRAWING"
"04/30/2022","1,4,11,14,16,36","REGULAR DRAWING"
"04/30/2022","1,4,5,6,35,43","DOUBLE PLAY DRAWING"
"04/27/2022","1,27,30,38,43,47","REGULAR DRAWING"
"04/27/2022","6,18,27,28,29,32","DOUBLE PLAY DRAWING"
"04/23/2022","7,8,22,35,38,39","REGULAR DRAWING"
"04/23/2022","1,3,13,26,29,39","DOUBLE PLAY DRAWING"
"04/20/2022","4,6,11,17,23,31","REGULAR DRAWING"
"04/20/2022","18,21,27,28,37,38","DOUBLE PLAY DRAWING"
"04/16/2022","1,2,6,23,42,44","REGULAR DRAWING"
"04/16/2022","1,3,14,25,35,45","DOUBLE PLAY DRAWING"
"04/13/2022","3,12,14,15,32,35","REGULAR DRAWING"
"04/13/2022","1,7,14,29,31,33","DOUBLE PLAY DRAWING"
"04/09/2022","6,7,10,20,25,42","REGULAR DRAWING"
"04/09/2022","22,24,26,40,43,44","DOUBLE PLAY DRAWING"
"04/06/2022","4,9,30,32,40,45","REGULAR DRAWING"
"04/06/2022","23,31,33,40,44,45","DOUBLE PLAY DRAWING"
"04/02/2022","2,10,17,30,43,46","REGULAR DRAWING"
"04/02/2022","3,9,16,21,35,46","DOUBLE PLAY DRAWING"
"03/30/2022","7,9,29,34,35,41","REGULAR DRAWING"
"03/30/2022","2,7,11,15,32,40","DOUBLE PLAY DRAWING"
"03/26/2022","2,13,14,28,35,41","REGULAR DRAWING"
"03/26/2022","5,6,8,17,30,34","DOUBLE PLAY DRAWING"
"03/23/2022","10,11,13,15,35,38","REGULAR DRAWING"
"03/23/2022","6,7,15,17,35,37","DOUBLE PLAY DRAWING"
"03/19/2022","1,3,11,28,35,43","REGULAR DRAWING"
"03/19/2022","2,4,7,14,17,21","DOUBLE PLAY DRAWING"
"03/16/2022","11,33,37,38,39,40","REGULAR DRAWING"
"03/16/2022","12,13,19,23,26,41","DOUBLE PLAY DRAWING"
"03/12/2022","9,21,25,35,40,42","REGULAR DRAWING"
"03/12/2022","4,15,17,31,32,37","DOUBLE PLAY DRAWING"
"03/09/2022","27,28,29,33,41,42","REGULAR DRAWING"
