"Draw Date","Winning Numbers","Powerball","Power Play","Drawing Type"
"10/30/2021","5,23,28,43,56","19","2","REGULAR DRAWING"
"10/30/2021","26,29,35,39,46","11","","DOUBLE PLAY DRAWING"
"10/27/2021","3,6,26,35,51","17","4","REGULAR DRAWING"
"10/27/2021","9,17,21,26,35","6","","DOUBLE PLAY DRAWING"
"10/25/2021","10,27,29,44,58","24","2","REGULAR DRAWING"
"10/25/2021","1,26,29,46,67","13","","DOUBLE PLAY DRAWING"
"10/23/2021","10,30,51,57,63","20","2","REGULAR DRAWING"
"10/23/2021","3,8,10,11,33","7","","DOUBLE PLAY DRAWING"
"10/20/2021","7,29,36,41,43","5","2","REGULAR DRAWING"
"10/20/2021","1,4,31,37,64","24","","DOUBLE PLAY DRAWING"
"10/18/2021","30,32,48,53,63","12","2","REGULAR DRAWING"
"10/18/2021","2,19,21,62,66","7","","DOUBLE PLAY DRAWING"
"10/16/2021","30,31,41,42,48","3","3","REGULAR DRAWING"
"10/16/2021","26,33,42,44,45","20","","DOUBLE PLAY DRAWING"
"10/13/2021","23,29,47,59,60","15","2","REGULAR DRAWING"
"10/13/2021","10,34,37,58,60","7","","DOUBLE PLAY DRAWING"
"10/11/2021","11,20,33,39,65","24","3","REGULAR DRAWING"
"10/11/2021","9,39,44,49,60","12","","DOUBLE PLAY DRAWING"
"10/09/2021","12,17,30,45,62","5","2","REGULAR DRAWING"
"10/09/2021","1,26,37,38,62","17","","DOUBLE PLAY DRAWING"
"10/06/2021","1,17,52,58,64","1","10","REGULAR DRAWING"
"10/06/2021","1,5,17,22,30","4","","DOUBLE PLAY DRAWING"
"10/04/2021","12,22,54,66,69","15","2","REGULAR DRAWING"
"10/04/2021","4,13,18,61,63","17","","DOUBLE PLAY DRAWING"
"10/02/2021","28,38,42,47,52","1","2","REGULAR DRAWING"
"10/02/2021","6,12,39,58,61","22","","DOUBLE PLAY DRAWING"
"09/29/2021","2,7,11,17,32","11","3","REGULAR DRAWING"
"09/29/2021","3,19,29,50,58","3","","DOUBLE PLAY DRAWING"
"09/27/2021","21,22,39,44,60","12","2","REGULAR DRAWING"
"09/27/2021","2,27,51,62,66","1","","DOUBLE PLAY DRAWING"
"09/25/2021","22,23,37,62,63","19","3","REGULAR DRAWING"
"09/25/2021","14,18,27,31,56","2","","DOUBLE PLAY DRAWING"
"09/22/2021","20,40,47,55,63","5","3","REGULAR DRAWING"
"09/22/2021","6,7,36,41,59","7","","DOUBLE PLAY DRAWING"
"09/20/2021","37,51,54,58,60","19","2","REGULAR DRAWING"
"09/20/2021","6,12,49,58,67","7","","DOUBLE PLAY DRAWING"
"09/18/2021","5,36,39,45,57","11","2","REGULAR DRAWING"
"09/18/2021","1,11,17,20,42","20","","DOUBLE PLAY DRAWING"
"09/15/2021","1,4,18,46,62","25","3","REGULAR DRAWING"
"09/15/2021","5,34,36,38,57","7","","DOUBLE PLAY DRAWING"
"09/13/2021","37,40,50,61,63","21","3","REGULAR DRAWING"
"09/13/2021","15,29,32,35,56","9","","DOUBLE PLAY DRAWING"
"09/11/2021","20,31,38,40,49","21","2","REGULAR DRAWING"
"09/11/2021","7,39,54,64,67","11","","DOUBLE PLAY DRAWING"
"09/08/2021","9,22,41,47,61","21","2","REGULAR DRAWING"
"09/08/2021","5,33,40,50,59","6","","DOUBLE PLAY DRAWING"
"09/06/2021","11,20,22,33,54","24","2","REGULAR DRAWING"
"09/06/2021","5,10,31,38,43","20","","DOUBLE PLAY DRAWING"
"09/04/2021","32,35,40,52,54","1","5","REGULAR DRAWING"
"09/04/2021","4,40,42,49,54","24","","DOUBLE PLAY DRAWING"
"09/01/2021","10,20,29,48,51","17","2","REGULAR DRAWING"
"09/01/2021","23,35,45,59,63","24","","DOUBLE PLAY DRAWING"
"08/30/2021","3,15,45,51,61","8","2","REGULAR DRAWING"
"08/30/2021","18,27,42,43,47","13","","DOUBLE PLAY DRAWING"
"08/28/2021","12,22,26,46,59","26","2","REGULAR DRAWING"
"08/28/2021","6,13,41,47,48","10","","DOUBLE PLAY DRAWING"
"08/25/2021","27,39,54,56,59","24","3","REGULAR DRAWING"
"08/25/2021","19,31,41,51,53","25","","DOUBLE PLAY DRAWING"
"08/23/2021","17,36,47,60,61","15","3","REGULAR DRAWING"
"08/23/2021","3,28,34,39,63","25","","DOUBLE PLAY DRAWING"
"08/21/2021","16,28,36,39,59","4","2","REGULAR DRAWING"
"08/18/2021","35,36,51,55,61","26","2","REGULAR DRAWING"
"08/14/2021","6,21,49,65,67","18","2","REGULAR DRAWING"
"08/11/2021","12,18,20,29,30","16","3","REGULAR DRAWING"
"08/07/2021","7,24,36,54,60","23","2","REGULAR DRAWING"
"08/04/2021","5,21,32,36,58","14","2","REGULAR DRAWING"
"07/31/2021","1,21,22,34,47","4","2","REGULAR DRAWING"
"07/28/2021","25,30,53,59,60","5","3","REGULAR DRAWING"
"07/24/2021","1,4,11,59,67","10","2","REGULAR DRAWING"
"07/21/2021","27,28,44,67,68","11","2","REGULAR DRAWING"
"07/17/2021","15,22,38,54,66","3","2","REGULAR DRAWING"
"07/14/2021","33,46,52,59,62","10","2","REGULAR DRAWING"
"07/10/2021","1,5,29,54,62","3","2","REGULAR DRAWING"
"07/07/2021","8,21,30,49,57","8","2","REGULAR DRAWING"
"07/03/2021","26,40,41,55,65","24","2","REGULAR DRAWING"
"06/30/2021","24,29,50,65,66","14","4","REGULAR DRAWING"
"06/26/2021","8,31,39,43,60","17","3","REGULAR DRAWING"
"06/23/2021","13,20,40,51,63","1","3","REGULAR DRAWING"
"06/19/2021","4,22,35,38,39","20","2","REGULAR DRAWING"
"06/16/2021","19,29,34,44,50","25","2","REGULAR DRAWING"
"06/12/2021","8,25,34,38,41","10","3","REGULAR DRAWING"
"06/09/2021","19,28,46,50,54","9","2","REGULAR DRAWING"
"06/05/2021","44,52,54,64,69","26","3","REGULAR DRAWING"
"06/02/2021","6,7,11,66,67","19","3","REGULAR DRAWING"
